,tweet_id,rating_numerator,rating_denominator,name,status,favorite_count,retweet_count,retweeted
754,710269109699739648,13.0,10,,,2597,1255,False
755,710140971284037632,8.0,10,Tater,,2999,1000,False
756,710117014656950272,11.0,10,,pupper,5975,2224,False
757,709918798883774466,12.0,10,Watson,,3235,1207,False
758,709852847387627521,12.0,10,,,3803,1331,False
759,709566166965075968,12.0,10,Olaf,floof,3846,1363,False
760,709556954897764353,12.0,10,Cecil,floof,3575,1196,False
761,709519240576036864,9.0,10,Vince,,1612,276,False
762,709449600415961088,10.0,10,Karma,,2417,663,False
763,709409458133323776,8.0,10,Billy,,2836,782,False
764,709225125749587968,11.0,10,Walker,,2604,643,False
765,709207347839836162,11.0,10,Penny,,13684,6529,False
766,709198395643068416,9.0,10,,,2623,716,False
767,709158332880297985,10.0,10,Rodney,,2224,469,False
768,708845821941387268,9.0,10,,pupper,3217,1008,False
769,708834316713893888,10.0,10,Malikai,,1848,568,False
770,708810915978854401,10.0,10,Mister,,17967,7800,False
771,708738143638450176,11.0,10,Coco,,2984,914,False
772,708711088997666817,11.0,10,Smokey,,2771,829,False
773,708479650088034305,13.0,10,Bear,,2756,760,False
774,708469915515297792,11.0,10,Bobble,,3343,921,False
775,708356463048204288,10.0,10,Oliver,,3907,1511,False
776,708149363256774660,10.0,10,Jebberson,,4639,1722,False
777,708130923141795840,11.0,10,,,3682,935,False
778,708119489313951744,9.0,10,Cooper,,2924,1101,False
779,708109389455101952,10.0,10,Remington,,2109,606,False
780,708026248782585858,13.0,10,,,4772,2158,False
781,707969809498152960,11.0,10,Rufus,,2932,1090,False
782,707776935007539200,11.0,10,Sadie,,3570,1072,False
783,707741517457260545,10.0,10,,,2706,691,False
784,707610948723478529,12.0,10,Harper,,18484,7196,False
785,707411934438625280,11.0,10,,pupper,2475,670,False
786,707387676719185920,10.0,10,Clarkus,,3823,1478,False
787,707377100785885184,9.0,10,,,3585,1208,False
788,707315916783140866,10.0,10,Finnegus,pupper,2691,725,False
789,707297311098011648,10.0,10,Cassie,,3008,901,False
790,707059547140169728,11.0,10,Cupcake,,2790,754,False
791,707038192327901184,10.0,10,Kathmandu,,2391,897,False
792,707021089608753152,12.0,10,Tucker,,4424,1535,False
793,707014260413456384,11.0,10,Ellie,,2496,659,False
794,706681918348251136,12.0,10,Katie,,3608,1091,False
795,706538006853918722,11.0,10,,,3757,1574,False
796,706516534877929472,12.0,10,,,3388,1147,False
797,706346369204748288,12.0,10,Koda,,3755,1030,False
798,706310011488698368,12.0,10,,pupper,23355,8987,False
799,706291001778950144,11.0,10,,,1850,521,False
800,706265994973601792,11.0,10,Kara,,2964,1027,False
801,706166467411222528,7.0,10,Dexter,,5605,1811,False
802,705975130514706432,10.0,10,Adele,pupper,3386,838,False
803,705970349788291072,12.0,10,Lucy,,3424,1005,False
804,705898680587526145,10.0,10,Max,,2582,640,False
805,705591895322394625,11.0,10,,,3453,1301,False
806,705475953783398401,12.0,10,Zara,,3220,1042,False
807,705442520700944385,12.0,10,Cooper,,4860,1850,False
808,705428427625635840,11.0,10,Ambrose,pupper,4173,1924,False
809,705239209544720384,11.0,10,Jimothy,,3271,848,False
810,705102439679201280,10.0,10,Terrenth,,2339,580,False
811,705066031337840642,12.0,10,Reese,,2363,680,False
812,704871453724954624,12.0,10,,,4564,1244,False
813,704859558691414016,10.0,10,,pupper,2452,609,False
814,704847917308362754,12.0,10,,,5571,1722,False
815,704499785726889984,12.0,10,,,3196,1119,False
816,704480331685040129,11.0,10,Lucia,floof,3707,1193,False
817,704364645503647744,12.0,10,Bisquick,,8761,3972,False
818,704054845121142784,12.0,10,,pupper,3193,1023,False
819,703774238772166656,10.0,10,,,2015,523,False
820,703769065844768768,10.0,10,,,3609,1267,False
821,703611486317502464,10.0,10,Scooter,pupper,4214,1698,False
822,703425003149250560,9.0,10,,,4153,1554,False
823,703382836347330562,12.0,10,Charlie,,3821,1280,False
824,703356393781329922,5.5,10,Socks,,2079,429,False
825,703079050210877440,11.0,10,,floof,8044,3480,False
826,702684942141153280,11.0,10,Lucy,,3508,1212,False
827,702671118226825216,10.0,10,,,2390,632,False
828,702598099714314240,11.0,10,Sansa,pupper,11278,3691,False
829,702539513671897089,12.0,10,,,3122,1083,False
830,702321140488925184,12.0,10,,,3590,1150,False
831,702276748847800320,11.0,10,,,2695,855,False
832,702217446468493312,9.0,10,,,5243,1515,False
833,701981390485725185,12.0,10,Fiji,floof,3740,1102,False
834,701952816642965504,11.0,10,Rilo,,4146,1146,False
835,701889187134500865,11.0,10,Bilbo,,3890,1553,False
836,701601587219795968,10.0,10,Coopson,,2286,521,False
837,701570477911896070,9.0,10,Yoda,,3068,1050,False
838,701545186879471618,10.0,10,Millie,pupper,2892,678,False
839,701214700881756160,12.0,10,,,13398,5779,False
840,700864154249383937,12.0,10,,pupper,2818,683,False
841,700847567345688576,10.0,10,Crouton,,2631,555,False
842,700747788515020802,11.0,10,,,25015,10590,False
843,700518061187723268,10.0,10,Vincent,,2881,910,False
844,700167517596164096,10.0,10,Dotsy,,2887,832,False
845,700143752053182464,10.0,10,,pupper,8230,3103,False
846,700029284593901568,10.0,10,Coops,,2250,657,False
847,700002074055016451,9.0,10,Thumas,,3615,1523,False
848,699801817392291840,11.0,10,Cooper,pupper,3326,1084,False
849,699788877217865730,12.0,10,Nala,,2451,554,False
850,699779630832685056,10.0,10,,,3028,1393,False
851,699775878809702401,11.0,10,Fillup,,2135,686,False
852,699446877801091073,12.0,10,Archie,,6486,2926,False
853,699434518667751424,12.0,10,,pupper,2374,574,False
854,699423671849451520,10.0,10,,,1498,379,False
855,699413908797464576,11.0,10,Miley,,2250,687,False
856,699370870310113280,11.0,10,Calbert,,2050,494,False
857,699323444782047232,10.0,10,,,3451,977,False
858,699079609774645248,8.0,10,Reagan,,2668,739,False
859,699072405256409088,12.0,10,,,3274,1320,False
860,699036661657767936,13.0,10,,pupper,2852,1337,False
861,698989035503689728,13.0,10,Oliver,,3689,1108,False
862,698953797952008193,11.0,10,,,2959,1014,False
863,698907974262222848,10.0,10,,,2778,694,False
864,698710712454139905,10.0,10,Cuddles,,2701,770,False
865,698703483621523456,7.0,10,Rusty,,1597,425,False
866,698635131305795584,12.0,10,,floof,1397,384,False
867,698549713696649216,9.0,10,Claude,,2522,698,False
868,698355670425473025,10.0,10,Jessiga,,2037,510,False
869,698342080612007937,11.0,10,Maximus,,2476,1068,False
870,698262614669991936,11.0,10,Franklin,,5186,2258,False
871,698195409219559425,9.0,10,,,18319,6716,False
872,698178924120031232,10.0,10,Lily,,3072,824,False
873,697995514407682048,11.0,10,,,1660,369,False
874,697990423684476929,11.0,10,Doug,,3586,1448,False
875,697943111201378304,10.0,10,Cassie,,2623,774,False
876,697616773278015490,11.0,10,,pupper,3451,1137,False
877,697596423848730625,11.0,10,,pupper,3296,1419,False
878,697463031882764288,11.0,10,,,3730,1547,False
879,697270446429966336,10.0,10,Bentley,,5102,2080,False
880,697259378236399616,8.0,10,,,3597,1126,False
881,697255105972801536,10.0,10,Charlie,,3300,1310,False
882,696900204696625153,12.0,10,Rosie,,3476,1152,False
883,696894894812565505,9.0,10,,,2579,756,False
884,696886256886657024,12.0,10,,,5285,2001,False
